timestamp,user_id,amount,receiver_id,device_id,sender_location,receiver_location,transaction_type,hour,dayofweek,is_night,is_weekend,amount_over_user_avg,z_amount_user,is_new_receiver,device_changed,time_since_last_tx_minutes,velocity_1h,velocity_24h,is_large_tx,is_local_transfer,receiver_risk_score,is_fraud
2025-01-01 00:36:00,u_0,6731.02,r_196,device_42,Bengaluru,Chennai,Other,0,2,1,0,3.523549959450746,2.318855242087596,1,0,99999.0,0,0,0,0,0.9944578051677608,0
2025-01-01 06:12:00,u_0,2166.31,r_30,device_6,Delhi,Bengaluru,Bill,6,2,0,0,0.4558583264732158,0.30000127205702287,1,1,336.0,0,1,0,0,0.3820097409171477,0
2025-01-02 18:52:00,u_0,414.91,r_93,device_7,Bengaluru,Pune,Other,18,3,0,0,-0.7211617089719375,-0.4745979561768726,1,1,2200.0,0,0,0,0,0.8271480128060997,0
2025-01-04 05:20:00,u_0,415.56,r_5,device_44,Kolkata,Pune,Merchant,5,5,0,1,-0.7207248795651549,-0.4743104778747418,1,1,2068.0,0,0,0,0,0.8372552761899896,0
2025-01-04 07:24:00,u_0,3046.56,r_29,device_0,Chennai,Chennai,Other,7,5,0,1,1.047426150043272,0.6893132342888868,1,1,124.0,0,1,0,1,0.975809010156957,0
2025-01-04 16:04:00,u_0,610.91,r_184,device_36,Mumbai,Mumbai,P2P,16,5,0,1,-0.5894408416959012,-0.38791219122663656,1,1,520.0,0,2,0,1,0.07722502885996829,0
2025-01-04 22:01:00,u_0,2265.08,r_74,device_10,Delhi,Kolkata,Bill,22,5,0,1,0.5222362349469613,0.34368470575158827,1,1,357.0,0,3,0,0,0.3174564096738589,0
2025-01-07 03:00:00,u_0,12.48,r_53,device_26,Bengaluru,Bengaluru,P2P,3,1,1,0,-0.9916128753897707,-0.6525824071407682,1,1,3179.0,0,0,0,1,0.91955540689806,0
2025-01-08 17:58:00,u_0,86.03,r_56,device_10,Delhi,Delhi,Bill,17,2,0,0,-0.9421839478991969,-0.6200531315688811,1,1,2338.0,0,0,0,1,0.6758695649834293,0
2025-01-08 19:25:00,u_0,1420.47,r_104,device_45,Hyderabad,Kolkata,Merchant,19,2,0,0,-0.04537989622657471,-0.029864600037283744,1,1,87.0,0,1,0,0,0.28582493556561706,0
2025-01-09 07:54:00,u_0,1060.6,r_62,device_38,Ahmedabad,Ahmedabad,Bill,7,3,0,0,-0.28722881717875437,-0.1890258563262709,1,1,749.0,0,2,0,1,0.38954302482656933,0
